景点名称,美食评分,人均消费,地址,推荐菜,评价
坛二酸菜鱼火锅(新街里店),3.8,99,四川省成都市武侯区荟锦路258号1楼,"烤土豆, 鱼头豆腐汤, 京酱肉丝, 泡椒鸡爪, 美味炒年糕",红烧狮子头，肉质细腻，酱汁浓厚又不失鲜美，入口即化的感觉让人忍不住一口接一口。
凤栖楼酒店·餐厅,4.3,97,四川省成都市邛崃市南江路6号,"鱼片, 茼蒿, 豌豆尖, 鱿鱼, 牛肉滑",炭火烤鸡翅，鸡翅经过炭火慢烤，外皮酥脆，内里多汁，咬下去汁水四溢，是烧烤中的经典。
但家香酥鸭(春熙路店),4.6,89,四川省成都市锦江区城守街7号附14号,"土豆炖牛肉, 番茄炒蛋, 炒青菜, 芹菜炒肉, 蘑菇炖鸡",蒸水蛋，鸡蛋蒸得嫩滑如布丁，清香的蒸蛋搭配几滴酱油，简单却让人百吃不厌。
七哥正兴泥鳅(三圣乡店),4.2,132,成龙大道一段红砂村联合3组7-8号,"清炒虾仁, 酱爆鸡丁, 西红柿鸡蛋汤, 凉拌黄瓜, 烤鸭",西红柿炖牛腩，牛腩软烂入味，西红柿的酸甜完美融合到汤中，配上一碗米饭，简单又幸福。
留一桌毛肚火锅(新南门店),4.3,67,玉林街道新南路8号,"羊肉串, 羊肉泡馍, 北京烤鸭, 蒜蓉生蚝, 香辣蟹",炭烤生蚝，生蚝外壳透着炭火的香气，肉质鲜嫩多汁，蒜香扑鼻，让人垂涎三尺。
Le Sillage际遇·法式餐与酒,3.6,77,天府三街1312号瑧林天地商业4栋1楼105-106号,"拍黄瓜, 炖鸡, 红烧排骨, 干煸四季豆, 蒸蛋",黄焖牛肉，牛肉经过长时间炖煮，软烂入味，搭配浓郁的汤汁，是下饭的绝佳选择。
汤公汤婆·川菜小馆(悠方店),4.8,147,交子大道300号成都悠方购物中心6楼619,"蒜薹炒肉, 蚂蚁上树, 家常豆腐, 京酱肉丝, 香酥鸭",蒜蓉粉丝扇贝，新鲜的扇贝肉质滑嫩，蒜蓉和粉丝充分吸收了海鲜的鲜味，是无法拒绝的海鲜盛宴。
魔住智慧恒温汤池酒店(春熙路太古里店)·魔咖音乐餐吧,4.1,75,成都市锦江区桂王桥北街39-1号,"粉丝煲, 鸡蛋羹, 牛肉炒面, 糖醋小排, 韭菜鸡蛋饼",蒜泥白肉，薄薄的肉片蘸满了浓郁的蒜泥酱汁，肥而不腻，搭配青葱和辣油，每一口都刺激着味蕾。
INFINITE·BISTRO·BRUNCH(紫荆路店),4.7,65,四川省成都市武侯区紫荆东路8号,"拍黄瓜, 炖鸡, 红烧排骨, 干煸四季豆, 蒸蛋",香辣虾，鲜虾经过高温爆炒，搭配麻辣香料，鲜香麻辣的味道让人忍不住吮指。
茉莉奶白(成都世茂广场店),3.9,78,四川省成都市龙泉驿区天鹅西湖南路世茂广场西门下沉广场B1-16号,"老北京炸酱面, 香煎鳕鱼, 油泼面, 红烧带鱼, 素炒包菜",酸菜鱼，选用上好的草鱼片，鱼肉细嫩滑口，酸菜的香味融入汤底，酸爽不腻，完美提鲜。
悦己·花园火锅(天目中心店),4,108,新裕路458号附201号二层（天目中心袁记云饺上面）,"炖羊肉, 黑椒牛肉面, 手撕鸡, 番茄炒蛋, 红烧豆腐",回锅肉，五花肉经过煸炒后吸满了特制酱料的香味，搭配青蒜和辣椒，层次丰富，咸香可口。
崇州上元来德酒店·餐厅,3.9,115,街子镇三郎和熙街660号,"爆米花, 丸子, 黄喉和猪天堂, 鸡中翅, 牛肉滑虾滑",西红柿炖牛腩，牛腩软烂入味，西红柿的酸甜完美融合到汤中，配上一碗米饭，简单又幸福。
凤滋·顺德味道(太古里店),3.7,63,北顺城街83号附1-4号,"爆米花, 丸子, 黄喉和猪天堂, 鸡中翅, 牛肉滑虾滑",炸酱面，面条筋道十足，裹满浓郁的肉末酱，入口咸香适中，搭配清脆的小菜，口感更加丰富。
树下魚集·鲜鱼馆(桐梓林店),3.7,127,新光路1号,"红烧狮子头, 鸡蛋土豆泥, 粉蒸肉, 香菇滑鸡, 酸辣土豆片",干锅牛蛙，牛蛙肉质滑嫩，干锅香料的浓郁香味充分渗透，香辣刺激，让人欲罢不能。
Gotham Bar,4.1,101,光明巷5号附4号（太升南路地铁站D口步行380米）,"英雄杯黑啤, 烤虾, 水果粥, 金针菇, 虾饺",红烧茄子，茄子吸满了浓郁的酱汁，软嫩多汁，入口即化，是家常菜的代表作。
三分二间·新中式茶咖,4.6,86,建设中路44号（太阳公元一期临街商铺）,"炒米粉, 肉末茄子, 冬瓜汤, 酸辣粉, 酱油鸡",藤椒鸡，鸡肉浸泡在特制的藤椒汤中，肉质嫩滑，藤椒的麻香味扑面而来，是夏日解腻的好选择。
嗨味战士江湖菜(锦城万达店),3.8,148,锦城大道666号附68号1层,"豆腐鱼, 拍黄瓜, 糖醋里脊, 蒸水蛋, 酱香鸡",担担面，面条筋道，酱香浓郁的担担面酱让整碗面条充满四川特色风味。
贵场火锅(环贸ICD店),4.5,122,东大路577号环贸ICD,"蒜薹炒肉, 蚂蚁上树, 家常豆腐, 京酱肉丝, 香酥鸭",红糖锅盔，酥脆的外皮包裹着甜香的红糖内馅，入口即化的感觉让人回味无穷，传统小吃的新体验。
隔三岔五重庆老火锅(心海里店),4.7,133,武侯大道顺江段3号1层附4号,"挂面鸭肠, 草原极品毛肚, 精品千层肚, 功夫土豆, 付氏冰粉",宫廷酱鸭，整只鸭子经过长时间的卤制，外皮酥香，内里肉质鲜嫩，酱汁渗透到每一寸肌理之中。
毕脆脆·海南烤鸡,3.7,132,成都市一环路东一段63号,"香辣土豆丝, 红烧鱼头, 家常菜心, 炸酱面, 辣椒炒肉",香辣虾，鲜虾经过高温爆炒，搭配麻辣香料，鲜香麻辣的味道让人忍不住吮指。
Le Bistro Joie乐法式餐酒馆(世豪荟店),4.8,103,世豪荟1楼世豪翡丽2栋1单元旁(地铁B2出口)（霸王茶姬背后）,"苦瓜炒蛋, 炒苦瓜, 香煎鸡排, 家常炒豆角, 粉蒸排骨",回锅肉，五花肉经过煸炒后吸满了特制酱料的香味，搭配青蒜和辣椒，层次丰富，咸香可口。
龙歆公园火锅(龙潭寺店),3.9,108,成宏路166号（龙潭寺新区公园内）,"香辣土豆丝, 红烧鱼头, 家常菜心, 炸酱面, 辣椒炒肉",藤椒鱼片，鱼片鲜嫩滑口，藤椒的麻香味让整道菜增添了别样的层次感，搭配青花椒和特制汤底，清新爽口。
蓉馔·公馆家宴,4.4,83,汇泉南路477号（成都市文化馆-新馆旁）,"腊肉炒饭, 蒜蓉粉丝蒸扇贝, 香煎牛排, 豆芽, 花生米",辣子鸡，小块的鸡肉外酥里嫩，辣椒的香辣与花椒的麻完美结合，每一口都让人热血沸腾。
酒辻商店(玉林店),4.9,125,玉林街1号附1号,"清炒虾仁, 酱爆鸡丁, 西红柿鸡蛋汤, 凉拌黄瓜, 烤鸭",糖醋里脊，里脊肉外层裹满酥脆的糖醋浆，甜酸的口感让人食欲大增，是儿童和成年人的共同最爱。
祐禾(高新仁和新城购物中心店),3.7,65,成都市高新区府城大道西段505号仁和新城购物中心负一楼B05号,"英雄杯黑啤, 烤虾, 水果粥, 金针菇, 虾饺",炸酱面，面条筋道十足，裹满浓郁的肉末酱，入口咸香适中，搭配清脆的小菜，口感更加丰富。
正贰捌经重庆老火锅(英伦联邦店),3.8,100,成都市双流区会龙大道中德英伦世邦-F区,"红烧狮子头, 鸡蛋土豆泥, 粉蒸肉, 香菇滑鸡, 酸辣土豆片",酸辣粉，手工制作的红薯粉条劲道弹滑，酸辣汤底浓郁，搭配脆爽的花生和葱花，风味独特。
二椒娘炭火烧烤(玉林店),4.4,82,玉林南路15号附126号,"虾滑, 手工面, 肥牛, 相间肥牛, 青椒肉丝",红糖锅盔，酥脆的外皮包裹着甜香的红糖内馅，入口即化的感觉让人回味无穷，传统小吃的新体验。
同仁四季椰子鸡(成都IFS店),3.7,120,红星路三段1号IFS国际金融中心7楼702（熊猫拍照打卡平台向右60米）,"炖羊肉, 黑椒牛肉面, 手撕鸡, 番茄炒蛋, 红烧豆腐",烤羊排，外焦里嫩的羊排肉，撒上香料后经过慢火烤制，羊肉的汁水被牢牢锁住，滋味无穷。
王春春鸡汤饭(世豪广场店),4.6,130,四川省成都市高新区剑南大道中段998号世豪广场购物中心B1-CB09号,"蹄花, 猪肚, 英雄杯的黑啤, 烤鱼, 梅子酒",干煸四季豆，四季豆煸炒至微焦，外皮酥脆，内里软嫩，搭配肉末一起炒，香味扑鼻。
福瑞琪Food Rich贵州酸汤(广福桥店),4.9,86,四川省成都市武侯区广福桥西街1号附50号,"蹄花, 猪肚, 英雄杯的黑啤, 烤鱼, 梅子酒",黄焖鸡米饭，鸡肉鲜嫩，酱汁浓厚，米饭吸满了汤汁，每一口都是满足的体验。
大百味湘味手撕鸭,4.3,127,双桥子街道,"英雄杯黑啤, 烤虾, 水果粥, 金针菇, 虾饺",蒜蓉粉丝扇贝，新鲜的扇贝肉质滑嫩，蒜蓉和粉丝充分吸收了海鲜的鲜味，是无法拒绝的海鲜盛宴。
茶百道(大慈寺店),4.3,78,大慈寺路76号1层2号,"红糖滑冰粉, 烤排骨, 辣炒掌中宝, 何师中翅, 锡纸烤脑花",西红柿炖牛腩，牛腩软烂入味，西红柿的酸甜完美融合到汤中，配上一碗米饭，简单又幸福。
野人先生(IFS国金店),4.6,139,IFS负一楼,"豆腐汤, 红烧鱼, 炸酱面, 鱼香肉丝, 拔丝地瓜",黄焖排骨，排骨炖得软烂入味，浓厚的酱汁包裹着每块肉，是无法抗拒的美味。
蒸汽茶馆STEAM TEA,3.9,87,红布正街11号附1号,"老北京炸酱面, 香煎鳕鱼, 油泼面, 红烧带鱼, 素炒包菜",卤肉饭，卤制得香浓的肉酱淋在白米饭上，酱香四溢，每一口都让人充满满足感。
美豪R酒店(成都春熙路太古里店)·早餐厅,4.7,116,成都市锦江区上东大街318号7楼,"豆腐汤, 红烧鱼, 炸酱面, 鱼香肉丝, 拔丝地瓜",红糖锅盔，酥脆的外皮包裹着甜香的红糖内馅，入口即化的感觉让人回味无穷，传统小吃的新体验。
喜喜精酿汉堡,4,140,棕苑巷9号附6号,"豆腐鱼, 拍黄瓜, 糖醋里脊, 蒸水蛋, 酱香鸡",干煸四季豆，四季豆煸炒至微焦，外皮酥脆，内里软嫩，搭配肉末一起炒，香味扑鼻。
靓啫·啫啫煲(仁和新城店),3.6,140,仁和新城购物中心6楼,"卡布奇诺脆皮, 卡布奇黑曲奇, 冰淇淋, 薯条, 猪颈肉",香菇鸡汤，鸡汤鲜美，香菇的独特香味融入汤中，是一碗暖心的滋补好汤。
牛之粿·潮汕牛肉火锅(天府广场店),3.8,132,西御街领地中心,"香辣味的黔鱼, 鲜榨石榴汁, 啤酒兔, 虾饼, 牛肉",腊肉炒饭，颗颗米饭吸收了腊肉的香味，搭配青菜和鸡蛋，咸香可口，吃起来别有风味。
吉太婆·冒烤鸭(太古里店),3.8,76,东升街59号（春熙路地铁站E2口步行370米）,"核桃花生奶, 功夫牛蛙, 滋味排骨, 培根薯条, 英雄杯黄啤",卤肉饭，卤制得香浓的肉酱淋在白米饭上，酱香四溢，每一口都让人充满满足感。
蕉外小院,3.6,84,平云路与永宁路交叉路口往南约230米,"蒜薹炒肉, 蚂蚁上树, 家常豆腐, 京酱肉丝, 香酥鸭",炸酱面，面条筋道十足，裹满浓郁的肉末酱，入口咸香适中，搭配清脆的小菜，口感更加丰富。
倌茶(锦华万达店),3.7,85,锦华路一段万达广场5号门,"炖羊肉, 黑椒牛肉面, 手撕鸡, 番茄炒蛋, 红烧豆腐",黄焖鸡米饭，鸡肉鲜嫩，酱汁浓厚，米饭吸满了汤汁，每一口都是满足的体验。
贵嫂辣子鸡火锅(橡树林店),4.8,121,橡树林东路28号,"红糖滑冰粉, 烤排骨, 辣炒掌中宝, 何师中翅, 锡纸烤脑花",香菇鸡汤，鸡汤鲜美，香菇的独特香味融入汤中，是一碗暖心的滋补好汤。
野猪细作sus scrofa baking(锦城万达店),4.8,149,锦城大道666号奥克斯广场1层（2号门）,"现炸酥肉, 自制鲜虾滑, 嫩牛肉, 黄喉, 鸭血",炸酱面，面条筋道十足，裹满浓郁的肉末酱，入口咸香适中，搭配清脆的小菜，口感更加丰富。
山溪小筑民宿·餐厅,4.1,94,都江堰青城山镇沙坪社区七组32号,"腊肉炒饭, 蒜蓉粉丝蒸扇贝, 香煎牛排, 豆芽, 花生米",黄焖排骨，排骨炖得软烂入味，浓厚的酱汁包裹着每块肉，是无法抗拒的美味。
牛太公砂锅(中坝总店),4.2,101,四川省成都市青羊区光华东二路98号15栋1层附104、106号,"千层肚, 鸭肠, 肥肠, 鲜毛肚, 嫩牛肉",黄焖牛肉，牛肉经过长时间炖煮，软烂入味，搭配浓郁的汤汁，是下饭的绝佳选择。
老堂里老火锅,4.4,95,上池正街28号1栋1楼负2号,"爆米花, 丸子, 黄喉和猪天堂, 鸡中翅, 牛肉滑虾滑",炭烤生蚝，生蚝外壳透着炭火的香气，肉质鲜嫩多汁，蒜香扑鼻，让人垂涎三尺。
王歘歘chuǎ老火锅(地勘路店),4.8,95,地勘路1号附4号1-2楼,"辣子鸡, 鱼香肉丝, 拔丝地瓜, 辣椒炒肉, 炸鸡排",炸酱凉面，凉面筋道爽滑，搭配香浓的炸酱酱料，是夏日必备的凉拌菜。
老鼎丰(成都太古里店),4.4,141,四川省成都市锦江区中纱帽街8号成都太古里地下室栋1层1214号之M018号,"花卷, 烧卖, 煎饺, 扬州炒饭, 家常豆腐",糖醋排骨，外皮酥脆，糖醋比例调和得恰到好处，酸甜味中透着一丝肉香，简直是米饭杀手。
霖omakase(成都塔子山公园店),4.7,75,"迎晖路222号塔子山公园内（西南门东北100米,觅雅阁茶园旁）","鱼片, 茼蒿, 豌豆尖, 鱿鱼, 牛肉滑",香煎牛排，采用进口牛肉，煎制得外焦里嫩，撒上少许海盐，搭配一勺黑胡椒酱，让人直呼过瘾。
阿婆小院盖碗茶老火锅,4.4,134,四川省成都市新都区皇花园路25号附9~10号(皇花园地铁站B2口旁),"辣子鸡, 鱼香肉丝, 拔丝地瓜, 辣椒炒肉, 炸鸡排",粉蒸肉，五花肉裹满蒸粉后蒸制而成，软糯不腻，入口即化，米粉的香气完美渗入肉中。
料创石锅藤椒鱼(华阳店),4.6,84,四川省成都市双流区菜蔬街1段-16号,"清蒸螃蟹, 炒年糕, 西兰花炒蘑菇, 海带汤, 木须肉",藤椒鱼片，鱼片鲜嫩滑口，藤椒的麻香味让整道菜增添了别样的层次感，搭配青花椒和特制汤底，清新爽口。
青城山悦溪山居·餐厅,4.4,85,四川省成都市都江堰市泰安社区9组1号,"酸汤肥牛, 糖醋里脊, 青椒肉丝, 芝麻鸡, 清炒时蔬",香辣螺丝，螺丝肉经过长时间的炖煮，完全吸收了麻辣汤汁，鲜美的滋味让人一颗接一颗。
玉川茶物所(麓湖店),3.5,98,嘉州路985-987号,"腊肉炒饭, 蒜蓉粉丝蒸扇贝, 香煎牛排, 豆芽, 花生米",香辣虾，鲜虾经过高温爆炒，搭配麻辣香料，鲜香麻辣的味道让人忍不住吮指。
唐师门老火锅,4.4,81,银桂桥一巷3号,"豉椒牛肉, 白灼虾, 草鱼豆腐汤, 肉末粉蒸, 蒸蛋羹",烤羊排，外焦里嫩的羊排肉，撒上香料后经过慢火烤制，羊肉的汁水被牢牢锁住，滋味无穷。
胖东东市井火锅(万象城柒公馆店),4.2,138,双福一路58号附121号（万两烧肉旁）,"香草黑曲奇, 原味泡芙, 巧克力泡芙, 曲奇泡芙, 泡芙",糖醋鱼，整条鱼炸至酥脆，外裹浓郁的糖醋汁，酸甜适口，鱼肉鲜美。
叁厂街水煮蛙(龙光世纪店),4.2,107,成都市成华大道二段298号,"羊肉串, 羊肉泡馍, 北京烤鸭, 蒜蓉生蚝, 香辣蟹",蛋炒饭，每一粒米饭都被蛋液包裹，粒粒分明，搭配火腿丁和青豆，让简单的家常菜变得无比美味。
七味婆砂锅,4.1,114,梓潼西街2号附5号,"炒米粉, 肉末茄子, 冬瓜汤, 酸辣粉, 酱油鸡",烤羊排，外焦里嫩的羊排肉，撒上香料后经过慢火烤制，羊肉的汁水被牢牢锁住，滋味无穷。
靓粥坊·粥底火锅(三利爱琴海店),4.3,120,华阳三利广场5楼8号,"爆米花, 丸子, 黄喉和猪天堂, 鸡中翅, 牛肉滑虾滑",炸酱面，面条筋道十足，裹满浓郁的肉末酱，入口咸香适中，搭配清脆的小菜，口感更加丰富。
彭州果徕咖啡庄园民宿·餐厅,4.7,106,葛仙山镇万年社区4组14号,"蒜薹炒肉, 蚂蚁上树, 家常豆腐, 京酱肉丝, 香酥鸭",卤肉饭，卤制得香浓的肉酱淋在白米饭上，酱香四溢，每一口都让人充满满足感。
上下山bar tea coffee,4.5,113,双成三路15号附283号润街负一楼藤野造型对面,"英雄杯黑啤, 烤虾, 水果粥, 金针菇, 虾饺",红烧狮子头，肉质细腻，酱汁浓厚又不失鲜美，入口即化的感觉让人忍不住一口接一口。
幸会东坡古法火锅,4,80,四川省成都市武侯区万寿桥路66号-附8号,"爆米花, 丸子, 黄喉和猪天堂, 鸡中翅, 牛肉滑虾滑",炸酱面，面条筋道十足，裹满浓郁的肉末酱，入口咸香适中，搭配清脆的小菜，口感更加丰富。
吉辰烧鸟,3.5,72,天府三街288号大有智慧广场2栋,"蒸馒头, 白切鸡, 糖醋鱼, 清蒸带鱼, 干锅牛肉",油泼面，手工拉制的面条上淋满滚烫的油泼辣子，香气扑鼻，简单却让人欲罢不能。
奇石山庄,4,92,光荣村3组5号,"辣椒炒肉, 三杯鸡, 蜜汁排骨, 酸菜鱼, 豆皮",宫保鸡丁，鸡肉鲜嫩多汁，花生酥脆可口，搭配特制的酸甜酱汁，让人吃完还想再来一份。
Sip&amp;Joy酌喜咖啡,3.7,115,双新南路90号,"千层肚, 鸭肠, 肥肠, 鲜毛肚, 嫩牛肉",黄焖牛肉，牛肉经过长时间炖煮，软烂入味，搭配浓郁的汤汁，是下饭的绝佳选择。
协茂森老钟家(成都万象城店),4.5,117,双庆路8号万象城A馆5楼百味巷5106,"香辣味的黔鱼, 鲜榨石榴汁, 啤酒兔, 虾饼, 牛肉",酸辣粉，手工制作的红薯粉条劲道弹滑，酸辣汤底浓郁，搭配脆爽的花生和葱花，风味独特。
土货重庆火锅(大丰店),3.9,102,金虎路60号,"爆米花, 丸子, 黄喉和猪天堂, 鸡中翅, 牛肉滑虾滑",腊肉炒饭，颗颗米饭吸收了腊肉的香味，搭配青菜和鸡蛋，咸香可口，吃起来别有风味。
KUMO KUMO(成都SKP店),4.7,101,天府大道北段2001号成都SKP2楼E2020号（近南馆E1门）,"鱼片, 茼蒿, 豌豆尖, 鱿鱼, 牛肉滑",泡椒凤爪，鸡爪口感软糯，泡椒的酸辣味渗透其中，清爽又开胃。
杨丝丝成都鲜货老火锅,4,127,红花北路65号,"爆米花, 丸子, 黄喉和猪天堂, 鸡中翅, 牛肉滑虾滑",辣子鸡，小块的鸡肉外酥里嫩，辣椒的香辣与花椒的麻完美结合，每一口都让人热血沸腾。
东北鹤岗小炉子烤串(龙湖滨江天街店),3.8,65,杉板桥路龙湖滨江天街负一楼1055号（龙湖梵悦台北门对面）,"蒸馒头, 白切鸡, 糖醋鱼, 清蒸带鱼, 干锅牛肉",红烧牛肉面，浓郁的牛肉汤底与手工拉制的面条完美结合，牛肉软烂入味，每一口都是暖心的满足。
Moontide bar,4.4,90,踏水桥北街60号10栋1层35号,"干煸鳝糊, 鱼香茄子, 酸辣汤, 粉蒸肉, 蚂蚁上树",炭烤生蚝，生蚝外壳透着炭火的香气，肉质鲜嫩多汁，蒜香扑鼻，让人垂涎三尺。
悠屾SHEN茶事·咖啡·调酒,4.4,90,四川省成都市武侯区棕南正街7号附8号,"挂面鸭肠, 草原极品毛肚, 精品千层肚, 功夫土豆, 付氏冰粉",蒜蓉粉丝扇贝，新鲜的扇贝肉质滑嫩，蒜蓉和粉丝充分吸收了海鲜的鲜味，是无法拒绝的海鲜盛宴。
天和·fusion dish,4.4,71,四川省成都市武侯区紫荆东路133号,"挂面鸭肠, 草原极品毛肚, 精品千层肚, 功夫土豆, 付氏冰粉",黑椒牛柳，牛柳炒得嫩滑多汁，浓郁的黑椒酱汁裹满肉片，咸香适中，令人胃口大开。
小福牛·烟火铺,4,129,成都市锦江区杉板桥南四路200号附27号,"番茄牛腩, 煎鸡排, 鲍鱼粥, 海鲜面, 荠菜饺子",水晶饺子，外皮薄透如水晶，内馅鲜嫩多汁，吃起来Q弹爽滑，是宴席上的美味佳肴。
泰野餐吧,3.8,119,四川省成都市锦江区三槐树路3号1栋1单元103号,"炒米粉, 肉末茄子, 冬瓜汤, 酸辣粉, 酱油鸡",糖醋里脊，里脊肉外层裹满酥脆的糖醋浆，甜酸的口感让人食欲大增，是儿童和成年人的共同最爱。
破店烂蹄花(营门口店),5,143,金牛区一环路北一段134号附1号,"虾滑, 手工面, 肥牛, 相间肥牛, 青椒肉丝",粉蒸肉，五花肉裹满蒸粉后蒸制而成，软糯不腻，入口即化，米粉的香气完美渗入肉中。
罗二火锅(建设路店),4.7,148,建设北路三段东方明珠花园广场2栋1F1号,"千层肚, 鸭肠, 肥肠, 鲜毛肚, 嫩牛肉",金针菇肥牛卷，肥牛肉包裹着细长的金针菇，经过涮煮后鲜嫩多汁，蘸上特制酱料，更是美味。
茶千颜大口茶(凯德广场·金牛交大路店),4,144,四川省成都市金牛区凯德广场二期负一楼B1-23星河地铁D口,"番茄牛腩, 煎鸡排, 鲍鱼粥, 海鲜面, 荠菜饺子",蒸水蛋，鸡蛋蒸得嫩滑如布丁，清香的蒸蛋搭配几滴酱油，简单却让人百吃不厌。
观音阁百年老茶馆,3.5,71,马市坝街62号,"卡布奇诺脆皮, 卡布奇黑曲奇, 冰淇淋, 薯条, 猪颈肉",红烧牛肉面，浓郁的牛肉汤底与手工拉制的面条完美结合，牛肉软烂入味，每一口都是暖心的满足。
万老头重庆水煮蛙(九眼桥店),3.8,124,一环路东五段101号附2号,"红烧狮子头, 鸡蛋土豆泥, 粉蒸肉, 香菇滑鸡, 酸辣土豆片",奶香玉米，粒粒玉米浸泡在浓郁的奶香中，入口甜美，回味悠长。
蟹膳·蟹海鲜融合料理(摩方店),4.1,128,交子大道500号合景摩方购物中心L3层306商铺,"千层肚, 鸭肠, 肥肠, 鲜毛肚, 嫩牛肉",黑椒牛柳，牛柳炒得嫩滑多汁，浓郁的黑椒酱汁裹满肉片，咸香适中，令人胃口大开。
牛财花老成都牛杂火锅(春熙路店),4.8,78,四川省成都市青羊区北书院街9号附3号,"现炸酥肉, 自制鲜虾滑, 嫩牛肉, 黄喉, 鸭血",麻婆豆腐，滑嫩的豆腐裹满了红亮的辣油和牛肉末，麻辣鲜香，完美下饭。
木言茶酒肆·围炉煮茶·煮酒,4.3,127,二环路南四段1号附2号（桥下往出城方向）,"花卷, 烧卖, 煎饺, 扬州炒饭, 家常豆腐",干煸四季豆，四季豆煸炒至微焦，外皮酥脆，内里软嫩，搭配肉末一起炒，香味扑鼻。
香肥婆饭铺(天府和悦店),4.3,86,麓山大道二段199号和悦广场A馆4F-09号,"干煸鳝糊, 鱼香茄子, 酸辣汤, 粉蒸肉, 蚂蚁上树",酸菜鱼，选用上好的草鱼片，鱼肉细嫩滑口，酸菜的香味融入汤底，酸爽不腻，完美提鲜。
民间粮仓·下饭菜(成都龙湖滨江天街店),4.9,76,杉板桥路龙湖滨江天街A馆4楼,"挂面鸭肠, 草原极品毛肚, 精品千层肚, 功夫土豆, 付氏冰粉",鱼香肉丝，细嫩的肉丝与酸甜口的酱汁完美融合，搭配脆嫩的青椒和胡萝卜丝，清爽又解腻。
小炉滋自助烤肉营地(犀浦店),3.8,71,成都市郫都区双铁路116号附5-6号,"粉丝煲, 鸡蛋羹, 牛肉炒面, 糖醋小排, 韭菜鸡蛋饼",香菇鸡汤，鸡汤鲜美，香菇的独特香味融入汤中，是一碗暖心的滋补好汤。
呛头家·云南菜·民族酒(万象城店),4.8,126,民族大道136号南宁万象城L441号,"清蒸鲈鱼, 烧白菜, 酸辣土豆丝, 糖醋排骨, 青椒牛柳",担担面，面条筋道，酱香浓郁的担担面酱让整碗面条充满四川特色风味。
红鼻子自然营地·餐厅,3.6,104,成都市彭州市白鹿镇思文场社区思文街302号,"清蒸螃蟹, 炒年糕, 西兰花炒蘑菇, 海带汤, 木须肉",酸辣粉，手工制作的红薯粉条劲道弹滑，酸辣汤底浓郁，搭配脆爽的花生和葱花，风味独特。
西域牛佬·新疆牛肉火锅(府青路店),4,132,成都市成华区枫林路180号,"爆米花, 丸子, 黄喉和猪天堂, 鸡中翅, 牛肉滑虾滑",糖醋排骨，外皮酥脆，糖醋比例调和得恰到好处，酸甜味中透着一丝肉香，简直是米饭杀手。
巴蜀辣妹子·成都大排档(天府广场今站店),4.8,101,天府广场负一楼今站购物中心博物馆路20号（近麦当劳）,"香辣土豆丝, 红烧鱼头, 家常菜心, 炸酱面, 辣椒炒肉",奶香玉米，粒粒玉米浸泡在浓郁的奶香中，入口甜美，回味悠长。
破山吼贵州酸汤自助火锅(成都总店),3.6,71,锦江区四川省成都市宏济中路6号,"宫保鸡丁, 麻婆豆腐, 水煮牛肉, 葱油饼, 红烧肉",红烧牛肉面，浓郁的牛肉汤底与手工拉制的面条完美结合，牛肉软烂入味，每一口都是暖心的满足。
戏咖·演出咖啡酒馆下午茶(建设路店),4,86,建设路26号附66号（牛萌萌楼上）,"折耳根, 香菜脆皮泡芙, 卡布奇诺泡芙, 芒果泡芙, 香草脆皮",红烧牛肉面，浓郁的牛肉汤底与手工拉制的面条完美结合，牛肉软烂入味，每一口都是暖心的满足。
复煮咖啡X时尚梦工厂(成都麓湖店),4.3,85,成都市麓湖生态城麓客岛,"豆腐汤, 红烧鱼, 炸酱面, 鱼香肉丝, 拔丝地瓜",腊肉炒饭，颗颗米饭吸收了腊肉的香味，搭配青菜和鸡蛋，咸香可口，吃起来别有风味。
竹林蛙蛙鸡冷锅鱼(公元汇店),4.8,72,一环路东一段63号公元汇B座2栋1楼119号,"豉椒牛肉, 白灼虾, 草鱼豆腐汤, 肉末粉蒸, 蒸蛋羹",卤肉饭，卤制得香浓的肉酱淋在白米饭上，酱香四溢，每一口都让人充满满足感。
明屋大慧堂·自然蔬食·素食餐厅·茶空间(世纪城店),3.6,149,吉瑞一路520号4栋,"宫保鸡丁, 麻婆豆腐, 水煮牛肉, 葱油饼, 红烧肉",酸辣粉，手工制作的红薯粉条劲道弹滑，酸辣汤底浓郁，搭配脆爽的花生和葱花，风味独特。
M Stand(成都仁和新城店),3.8,100,府城大道西段505号一层195号,"排骨, 鱼皮, 酥肉, 酸梅汤, 肚子鸡",炭火烤鸡翅，鸡翅经过炭火慢烤，外皮酥脆，内里多汁，咬下去汁水四溢，是烧烤中的经典。
那么川·民间特色川菜(悠方店),4.6,92,交子大道300号悠方购物中心6楼605,"卡普奇诺泡芙, 卡布基诺泡芙, 抹茶黑曲奇, 板栗泡芙, 冰激凌泡芙",蒜蓉粉丝扇贝，新鲜的扇贝肉质滑嫩，蒜蓉和粉丝充分吸收了海鲜的鲜味，是无法拒绝的海鲜盛宴。
岸牛WAGYU BANK·和牛烧肉(桐梓林店),4.8,75,桐梓林东路2号-4号1楼（道可道茶府楼下）,"干煸鳝糊, 鱼香茄子, 酸辣汤, 粉蒸肉, 蚂蚁上树",水煮鱼，鲜嫩的鱼片漂浮在麻辣红油汤中，豆芽和金针菇吸满汤汁，舌尖的麻辣爽感让人停不下来。
